"cues","BOI","Concrete","SUBTLEX","AoA","n"
"girdle",5.52173913,4.63,1.9031,10.22,16
"girl",5.52,4.85,4.4535,4,14
"girlfriend",5.730769231,4.25,3.5891,6.26,15
"glass",6.12,4.82,3.4909,4.47,18
"glassblower",4.52173913,4.33,0.301,NA,20
"glasses",6.541666667,4.9,3.2279,4.35,15
"glassware",5.964285714,4.59,0.9031,9.72,19
"glider",4.5,4.32,1.5563,10.47,14
"glitter",4.434782609,4.43,2.0212,5.22,13
"globe",5.28,4.59,2.4265,6.5,11
"glue",5.043478261,4.65,2.4786,4.67,21
"glycerine",4.434782609,4,0.4771,13.45,13
"goalkeeper",4.458333333,4.5,1.2304,8,17
"goalpost",4.84,4.96,1.1461,9.83,12
"goat",4.8,5,2.7308,5.21,22
"goatee",4.375,4.89,1.7404,11.78,17
"goatskin",4.44,4.8,0.6021,10.25,19
"goblet",5.826086957,4.65,1.301,11.44,13
"goddaughter",5.04,3.72,1.2041,8.05,17
"godfather",5.043478261,4.14,2.4456,8.47,15
"godmother",5.19047619,3.72,1.9191,6.95,18
"godparent",5.260869565,4,0.699,7.71,16
"goggle",4.458333333,4.42,1.4472,9.44,14
"goggles",6.125,4.93,2.0334,7.05,18
"gold",4.75,4.81,3.605,7.1,21
"goldfish",4.739130435,4.79,2.1931,4.5,25
"goldsmith",4.375,4.73,1.2553,10.17,16
"golf",4.76,4.52,3.1149,7.16,16
"golfer",4.583333333,4.71,1.7559,7.16,20
"gondola",4.916666667,4.92,1.5798,10.21,13
"goose",5.260869565,4.81,2.8235,5.15,15
"gooseberry",5.041666667,4.7,1.1761,9.41,19
"goulash",4.846153846,4.2,1.6232,8.89,14
"gourd",5.208333333,4.86,1.3979,10.65,8
"gown",6.36,4.61,2.525,6.16,13
"gramophone",5.25,4.78,1.2304,12.25,9
"grandchild",5.24,4.26,1.8976,5.26,20
"granddaughter",5,4.37,2.5198,4.68,17
"grandfather",5.833333333,4.86,3.0941,4.39,14
"grandma",5.769230769,4.54,3.3666,2.58,16
"grandnephew",5.08,4.69,0.4771,9.5,12
"grandniece",4.708333333,4.54,0.4771,10.11,24
"grandpa",5.76,4.39,3.2206,3.06,15
"grandparent",5.56,4.03,1.1461,5.5,19
"grandson",5.785714286,4.3,2.6107,5.89,15
"granite",4.666666667,5,1.9138,12.24,18
"granny",5.083333333,4.24,2.6345,4.22,19
"grape",6.214285714,5,2.3118,3.94,18
"grapefruit",5.96,4.96,2.1038,6.9,12
"grapevine",4.869565217,4.69,1.6812,7.37,22
"graphite",4.590909091,4.58,1.3424,10.11,11
"grass",5.454545455,4.93,2.933,3.94,20
"grasshopper",4.753721245,4.91,1.6812,5.78,17
"grater",4.92,4.52,0.9031,8.88,14
"grave",4.730769231,4.56,3.1274,7.06,19
"gravel",5.461538462,5,1.8692,7.19,17
"gravestone",4.875,4.72,1.2553,7.37,12
"graveyard",4.608695652,4.83,2.4362,6.06,20
"gravy",5.333333333,4.97,2.4314,6,21
"grease",4.666666667,4.61,2.5502,7.33,19
"greenback",4.904761905,4.05,0.301,12.17,10
"greenery",4.375,4.34,0.9031,9.63,20
"greenhouse",5.260869565,4.76,2.0531,9.22,20
"greens",4.5,4.1,2.0414,6.9,16
"grenade",5.2,4.9,2.3729,9.72,14
"greyhound",4.636363636,5,1.6721,8,17
"griddle",5.739130435,4.38,1.2788,8.67,19
"grill",5.72,4.86,2.3579,6.53,15
"grits",5.291666667,4.74,1.9138,8.95,20
"groceries",5.962962963,4.74,2.48,5.35,14
"grocery",5.068965517,4.31,2.4487,5.72,19
"groin",5.72,4.58,1.9685,9.22,10
"groom",5,4.54,2.6021,7.78,15
"ground",5.875,4.77,3.5678,4.89,12
"groundsman",4.333333333,4.19,0.301,10.88,19
"guard",5,4.04,3.4726,6.25,15
"guardhouse",4.28,4.67,1.5682,9.28,15
"guardrail",4.36,5,1.1761,9.35,15
"guardsman",4.481481481,4.64,0.9542,10.33,13
"guest",4.857142857,3.83,3.3092,6.21,18
"guesthouse",4.913043478,4.53,1.5911,9.26,14
"guestroom",4.538461538,4.44,0.699,7.76,20
"guidebook",5.791666667,4.83,1.5563,11.11,15
"guillotine",4.52173913,4.64,1.6335,11.75,14
"guitar",6.293243243,4.9,2.9009,5.32,23
"guitarist",4.75,4.58,1.5682,9.26,13
"gum",6.36,4.89,2.8351,4.89,17
"gumbo",4.619047619,4.39,1.6628,12.05,12
"gumdrop",5.875,4.9,0.9542,5.53,14
"gun",6.12,4.83,4.0364,5.58,13
"gunfighter",4.52,4.34,1.8633,7.18,14
"gunnysack",4.666666667,4.52,0.7782,11.58,9
"gunpowder",4.96,4.79,1.9345,9.74,13
"guy",5.84,4.68,4.5899,4.11,18
"gym",4.958333333,4.83,2.9675,6,13
"gymnasium",4.464285714,4.81,1.8573,6.63,16
"gymnast",5,4.85,1.4914,6.74,19
"gynecologist",4.833333333,4.39,1.8633,NA,17
"gyroscope",4.814814815,4.25,1,12.69,13
"hailstone",5,4.57,0.4771,10.14,12
"hair",6.318181818,4.97,3.8939,3.17,16
"hairbrush",6.48,4.75,1.5798,4.7,19
"hairdo",5.08,4.07,1.8261,6.39,13
"hairdresser",5.384615385,4.79,2.1038,6.65,15
"hairline",4.92,4.46,1.7993,9.68,16
"hairnet",5.458333333,4.96,1.1139,8.7,20
"hairpiece",5.956521739,4.82,1.301,10.83,16
"hairpin",6.125,4.83,1.2788,8.17,15
"hairstyle",4.68,3.9,1.5563,7.11,17
"hairstylist",5.041666667,4.79,0.9031,8.5,13
"hall",4.346153846,4.67,3.4232,5.35,16
"hallway",4.708333333,4.74,2.6884,5.38,15
"ham",5.541666667,4.9,2.7723,4.1,13
"hamburger",6.148148148,5,2.5999,5.21,20
"hammer",6.173913043,4.77,2.8041,5.42,12
"hammock",6.166666667,4.89,1.8573,7.11,22
"hamper",4.4,4.21,1.8633,6.8,16
"hamster",5.583333333,4.86,2.0414,4.37,19
"hamstring",5.08,4.72,1.0414,9.74,16
"hand",6.44,4.72,4.1542,2.74,14
"handbag",6,4.93,2.1303,7.95,18
"handball",5.75,4.48,1.4624,8.69,14
"handbook",5.782608696,4.64,1.7243,8.89,15
"handbrake",5.083333333,4.69,1,8.05,15
"handcart",5.6,4.67,0.699,7.31,17
"handclap",4.434782609,4.28,0.8451,5.06,10
"handclasp",4.681818182,4.22,0.6021,10.78,20
"handgun",5.761904762,5,1.8261,7.59,15
"handhold",5.045454545,3.91,0.6021,9.26,12
"handkerchief",5.72,5,2.3324,7.22,18
"handle",4.958333333,4.57,3.7427,6.3,21
"handlebar",5.384615385,4.76,1.0414,6.26,16
"handrail",5.227272727,4.72,0.8451,7,17
"handsaw",6.076923077,5,0.7782,8.56,23
"handshake",5.636363636,4.52,2.1931,6,17
"handwork",4.928571429,3.66,0.301,9.22,15
"hanger",5.291666667,4.81,1.8451,6.78,15
"hangnail",5.814814815,4.71,1.2041,10.84,16
"hanky",4.481481481,4.76,1.6335,8.71,14
"hardcover",4.652173913,4.69,0.9542,8.36,16
"hardware",5.52,4.62,2.5428,8.63,19
"hardwood",5.076923077,4.4,1.5315,9.84,15
"harmonica",6.416666667,4.9,1.9542,7.32,16
"harness",4.4,4.14,2.1271,7.83,13
"harp",5.8,4.85,2.1303,7.55,16
"harpist",4.304347826,4.08,0.4771,12.11,15
"harpsichord",4.904761905,4.67,1.0792,12,13
"harvest",4.464285714,4,2.2923,7.4,23
"hashish",4.909090909,4.33,1.3802,14.85,8
"hat",6.44,4.88,3.5151,3.33,20
"hatband",5.16,4.38,0.301,9.61,13
"hatchback",4.818181818,4.48,0.9542,12,17
"hatchet",5.791666667,4.93,2.0043,8.2,22
"haystack",4.956521739,4.87,1.8513,6.32,16
"head",5.48,4.75,4.2776,3.42,23
"headboard",5.52,4.65,1.2041,9.86,13
"headdress",5.541666667,4.71,1.2041,9.06,17
"headgear",5.625,4.83,1.2304,10.78,17
"headlight",4.538461538,4.97,1.5798,6.79,18
"headmistress",4.555555556,4.56,1.2304,11,10
"headphones",6.083333333,4.79,1.9085,7.74,16
"headpiece",5.347826087,4.8,1.2304,10,16
"headrest",5.346153846,4.8,0.8451,7.68,18
"heads",4.28,4.63,3.3381,5.74,17
"headset",6,4.83,1.6335,9.05,19
"hearse",4.928571429,4.85,1.9138,9.89,13
"hedgehog",5.043478261,4.93,1.2041,8.63,14
"heel",4.666666667,4.86,2.5775,7.85,17
"helicopter",5.178571429,4.62,2.9069,5.26,13
"helmet",6.111111111,4.92,2.6848,5.71,17
"hen",4.652173913,4.9,2.2148,6.39,13
"herb",5.826086957,4.57,2.4065,9.05,18
"herbivore",4.363636364,4.08,0.8451,11.94,23
"heroin",4.423076923,4.57,2.7007,10.88,20
"herring",4.409090909,4.68,2.1847,10.2,10
"hibachi",4.666666667,4.14,0.9031,14.21,18
"hibiscus",4.952380952,4.48,0.7782,13.88,14
"hickory",4.357142857,4.34,1.8451,9.39,18
"hiker",5.260869565,4.53,1.1761,8.5,17
"hill",4.535714286,4.93,3.2824,3.47,18
"him",4.47826087,3.54,5.2497,3.43,12
"hinge",4.333333333,4.57,1.4771,7.95,12
"hip",5.086956522,4.21,2.896,6.17,18
"hippie",4.56,4.07,2.1461,10.78,14
"hitchhiker",4.375,4.83,1.7076,7.68,9
"hoe",5.545454545,4.74,1.6812,8.72,18
"hog",4.407407407,4.66,2.4183,5.7,14
"holder",4.28,3.74,1.9191,6.85,17
"holding",4.428571429,3.72,3.5479,NA,15
"holster",4.68,4.59,2.0492,10.32,15
"home",5.434782609,4.11,4.5965,3.87,15
"homemaker",5.285714286,4.22,1.2553,8.58,17
"homework",5.32,4.5,3.012,5.89,19
"honey",5.434782609,4.88,4.1854,5.44,18
"honeycomb",4.695652174,4.72,1.3222,7.11,18
"honeydew",5.444444444,4.86,1.1761,7.56,22
"honeysuckle",5.375,4.48,1,8.26,16
"hood",5.44,4.88,2.8954,5.5,14
"hook",5,4.79,3.2876,6.26,17
"hookah",6.25,4.83,0.4771,15.13,12
"hookers",5.08,4.63,2.301,NA,11
"hoop",5.296296296,4.74,2.1399,6.11,20
"horn",5.291666667,5,3.0318,4.84,15
"horse",5.88,5,3.6756,4.15,14
"horsefly",4.32,4.97,0.7782,NA,17
"horseman",4.28,4.3,1.7924,9,12
"horseradish",5.24,4.81,1.415,9.94,14
"horseshoe",5.2,5,1.7243,5.85,21
"horsewhip",4.652173913,4.37,1.0792,10,22
"hose",5.565217391,4.87,2.6149,5.33,15
"hosiery",5.565217391,4.5,0.7782,11.06,13
"hostel",4.708333333,3.9,1.4771,15.58,12
"hostess",5.214285714,4.12,2.2788,8.47,12
"hotel",5.695652174,4.93,3.7214,6.05,13
"hotplate",5.230769231,4.7,0.7782,12.21,16
"hound",4.962962963,4.48,2.4116,5.74,16
"hourglass",4.583333333,4.93,1.699,8.58,18
"house",5.782608696,5,4.4185,3.16,19
"houseboat",4.956521739,4.74,1.6128,10.63,19
"houseboy",4.583333333,4.26,1.5682,12.18,14
"housecoat",5.653846154,4.89,0.8451,9.1,18
"housefly",4.541666667,4.96,1,NA,11
"housekeeper",4.458333333,4.36,2.4757,7.61,18
"housemaid",4.84,4.52,1.1139,9,17
"housewife",5.2,4.43,2.2577,8.28,15
"hubcap",4.833333333,5,0.9031,8.39,13
"hug",4.652173913,4.14,2.9943,2.58,14
"human",5.666666667,4.93,3.8037,4.83,18
"hurdle",4.36,3.97,1.5798,8.75,17
"husband",6.041666667,4.11,3.9972,5.53,19
"husk",4.304347826,4.86,1.3424,8.63,14
"husky",4.892857143,3.59,1.9138,10.21,17
"hut",5.130434783,4.65,2.8293,8.1,20
"hutch",4.708333333,4.31,2.2672,10.57,11
"hypnotist",4.44,4.07,1.6232,10.3,17
"ice",5.458333333,4.89,3.6083,3.86,20
"iceboat",4.37037037,4.78,0.4771,13.31,11
"icebox",5.181818182,4.71,2.0969,7.11,13
"icepick",5.416666667,4.68,0.301,9,19
"icing",4.76,4.66,1.8573,5.53,16
"igloo",4.851851852,4.73,1.2041,5.42,14
"iguana",5.166666667,4.83,1.6128,7.61,19
"illustrator",4.48,3.76,1.1139,8.41,20
"incubator",4.291666667,4.65,1.716,10,19
"infant",6.038461538,4.93,2.3345,6.42,18
"ingredient",4.793103448,3.84,2.1271,7.85,16
"ingredients",4.958333333,4.16,2.0414,6.69,15
"ink",5.56,4.56,2.5832,5.16,19
"insect",5.125,4.89,2.2095,4.75,21
"insole",4.454545455,4.11,0.4771,12.21,15
"inspector",4.391304348,4.62,3.0512,8.84,15
"instructor",4.583333333,4.26,2.382,8.19,18
"instrument",5.739130435,4.27,2.617,6.94,18
"insulin",4.625,4.37,2.0334,11.32,19
"intercom",4.695652174,4.67,2.0334,8.79,20
"intern",4.791666667,3.86,2.3674,14,19
"interviewer",4.75,4.47,1.3617,10.11,18
"inventor",4.391304348,3.82,2.0719,8,14
"investigator",4.888888889,4.37,2.4942,9.32,17
"iron",5.538461538,4.59,2.9619,7.32,19
"item",5.739130435,4.41,2.7987,5.68,13
"jacket",6.333333333,4.86,3.2317,3.95,17
"jaguar",4.826086957,4.9,2.0864,7.78,10
"jam",5.173913043,4.71,2.8395,6.56,16
"jar",6.208333333,5,2.6284,5.44,20
"jasmine",4.32,4.55,2.4456,10.26,15
"javelin",5.833333333,4.9,1.3979,9.44,14
"jaw",5.5,4.87,2.5623,5.33,22
"jawbreaker",5.28,4.22,0.8451,6.89,14
"jean",5.956521739,4.69,2.9566,6.12,22
"jeans",6.44,5,2.5289,5.26,15
"jeep",5.409090909,4.8,2.7202,6.32,16
"jelly",5.48,4.93,2.5611,4.11,16
"jersey",5.8,4.56,2.9657,8.96,15
"jet",5.041666667,4.77,2.8585,5.39,21
"jewel",5.44,4.96,2.5682,6.22,18
"jeweler",4.695652174,4.61,1.7324,9.5,21
"jewelry",6.576923077,4.82,2.752,6.67,18
"jockstrap",5.739130435,4.97,1.3617,9.95,17
"jogger",5,4.68,1.3979,8.26,16
"joint",4.375,4.37,3.148,9.05,16
"journal",6,4.63,2.6571,8.5,23
"journalist",4.5,4.04,2.4942,10.11,15
"joystick",6.12,4.74,1.2041,9.29,19
"juice",5.739130435,4.89,3.1374,4.4,19
"jukebox",5.8,4.93,2.0682,7.42,19
"jumper",4.296296296,4.03,2.0719,7,18
"junk",4.962962963,3.88,2.8949,6.62,15
"jurist",4.380952381,3.96,1.1461,12.71,14
"juror",4.782608696,4.29,2.1206,10.16,13
"kale",5.652173913,4.81,1.4624,12.12,14
"kaleidoscope",5.84,4.79,1.2041,7.41,19
"kazoo",5.6,4.85,1.5051,6.25,12
"kebab",5.916666667,4.85,1.5051,10.44,22
"keepsake",4.75,3.89,1.5682,9.47,17
"keg",4.962962963,4.75,2.2455,13.41,11
"kelp",4.826086957,4.9,1.8062,10.22,13
"kerchief",5.666666667,4.85,1.301,6.94,15
"kernel",4.5,4.21,1.5563,8.74,18
"ketchup",6.304347826,5,2.4928,4.3,20
"kettle",5.44,4.75,2.1584,8.06,15
"kettledrum",4.916666667,4.9,0.4771,11.56,16
"key",6.28,4.89,3.6465,3.58,16
"keyboard",6.08,4.93,1.9685,9.32,17
"keyhole",5.44,4.63,1.7324,7.86,21
"kid",5.68,4.56,4.238,4.28,15
"kidney",4.68,4.96,2.6946,9.33,16
"kids",6.44,4.61,4.1863,3.86,16
"kiln",4.304347826,4.82,1.301,10.69,8
"kilt",5.04,4.71,1.5051,8.21,23
"kin",4.47826087,4.1,2.3404,7.83,10
"kindle",4.4,3.74,1,12.36,14
"kindling",4.583333333,3.76,1.4771,9.5,13
"kiss",4.571428571,4.48,3.791,3.61,20
"kissing",5.458333333,4.52,3.0755,NA,15
"kit",4.739130435,4.47,2.9547,6.55,17
"kitchen",5.625,4.97,3.4735,3.68,19
"kitchenette",4.782608696,4.56,1.2304,12.95,18
"kite",5.8,5,2.0719,4.58,13
"kitten",6.4,4.86,2.3838,3.64,16
"kitty",6.043478261,4.97,3.1345,3.54,18
"kiwi",6.08,4.86,1.6128,7.56,18
"kleenex",6.043478261,4.92,1.8976,NA,15
"knapsack",5.84,4.9,1.5315,11.17,15
"knee",5.818181818,5,2.8751,4.42,17
"kneecap",5.714285714,4.7,1.4771,6.37,19
"knickers",5.5,4.54,1.8195,9.94,14
"knitting",4.304347826,4.14,2.0645,7.24,16
"knob",5.888888889,4.75,2.1004,4.68,15
"knot",5.76,4.87,2.2765,6.05,16
"knuckle",5.76,4.93,1.8261,5.94,13
"knuckles",5.37037037,4.87,2.248,5.35,19
"kumquat",5.619047619,4.88,1.3979,12.47,9
"label",5.375,4.46,2.5465,6.1,18
"laboratory",4.739130435,4.46,2.5211,8.72,16
"labrador",5.074074074,4.35,1.4472,NA,21
"lace",4.869565217,4.85,2.2788,6.44,19
"lad",4.36,4.28,2.8675,7.35,17
"ladder",6.117567568,5,2.6749,4.4,19
"ladle",4.84,4.9,1.5911,9.83,16
"lady",5.32,4.33,4.0442,3.68,13
"ladybug",4.875,4.92,1.3222,4.84,15
"lager",4.695652174,4.64,1.415,14,12
"lake",5.035714286,4.88,3.2641,4.61,21
"lamb",4.444444444,4.97,2.7348,4.15,22
"lambskin",4.416666667,4.72,0.699,10.78,19
"lamp",6.083333333,4.97,2.8182,4,17
"lamplight",4.291666667,4.8,0.8451,7,20
"lamplighter",4.263157895,4.24,0.6021,10.69,16
"lampshade",5.296296296,4.82,1.1761,5.63,18
"lance",4.571428571,4.07,2.7443,11.79,13
"land",5.56,4.57,3.6527,5.22,19
"landlady",4.76,4.22,2.0294,9.18,14
"landscape",4.384615385,4.34,2.1072,9.89,20
"lantern",5.653846154,5,2.017,8.55,17
"lanyard",5.416666667,4.46,0.699,12.14,16
"lapdog",4.739130435,4.31,1.3424,10.1,15
"larvae",4.375,4.62,1.4771,NA,13
"laryngoscope",4.411764706,4.48,1.1461,17.67,17
"lasso",5.555555556,4.74,1.6628,8.56,21
"latch",5.541666667,4.79,1.9956,8,17
"latex",5.086956522,4.77,1.8751,13.48,19
"latrine",6.333333333,4.62,2.1761,12.27,12
"laundry",6.208333333,4.93,2.9881,6.05,14
"lavatory",5.620689655,4.81,1.699,10.58,12
"lawn",5.695652174,4.93,2.8,5.45,19
"lawyer",4.625,4.7,3.6081,7.78,16
"laxative",5.206896552,4.07,1.6435,11.68,18
"leaf",5.584345479,5,2.4249,4.6,14
"leaflet",5.956521739,4.31,0.4771,10.37,14
"leash",5.708333333,4.89,2.3424,5.79,14
"leather",5.576923077,4.82,2.8414,7.25,17
"leaves",5.846153846,4.78,3.3649,NA,16
"ledge",4.541666667,4.72,2.2553,11.05,17
"ledger",4.583333333,4.36,1.7993,12.78,11
"leech",4.291666667,4.33,1.9542,7.84,16
"leftovers",5.625,4.48,2.1072,5.62,15
"leg",5.875,4.83,3.4598,3,16
"leggings",6.130434783,4.86,1.1461,10,18
"lei",5.058823529,4.83,1.5798,NA,19
"lemon",6.08,5,2.7882,4.74,17
"lemonade",5.409090909,4.83,2.4502,5.06,15
"lens",5.115384615,4.64,2.3784,9.53,14
"leopard",5.260869565,5,2.4425,6.84,14
"leotard",5.363636364,4.74,1.3222,NA,14
"lesion",4.481481481,4.38,1.4914,12.82,8
"letter",5.259259259,4.7,3.6247,4.74,16
"letterbox",4.56,4.6,0.4771,9.83,16
"lettuce",6.083333333,4.97,2.2405,4.28,14
"lever",5.038461538,4.77,2.2148,7.89,18
"library",4.391304348,4.8,3.0686,4.95,15
"lice",5,4.73,2.0414,NA,13
"licence",4.76,4.57,2.4014,9.37,13
"lick",4.652173913,4.52,2.7482,4.3,17
"lid",5.428571429,4.96,2.4014,5.95,21
"lifeboat",5.333333333,4.48,1.8573,7.72,17
"lifebuoy",4.260869565,4.65,0.6021,10.12,14
"lifeguard",4.96,4.47,1.9345,5.63,19
"lighthouse",4.791666667,4.96,2.1987,6.11,17
"lilac",5,4.69,1.6021,8.89,20
"lilly",4.590909091,4.77,2.3784,7.44,13
"lily",4.884615385,4.69,3.137,6.67,13
"limb",5.703703704,4.64,2.3784,7.16,16
"lime",5.52,4.96,2.2279,6.61,14
"limeade",4.75,4.44,0.7782,9.35,20
"limes",5.782608696,4.92,1.4624,NA,17
"limestone",4.565217391,4.59,1.4472,12,19
"limousine",5.565217391,4.63,2.1614,8.17,15
"linen",5.875,4.8,2.1761,7.68,18
"lingerie",5.72,4.87,2.1614,13.44,20
"linoleum",4.62962963,4.85,1.4472,10.5,14
"lint",5.04,4.96,1.8388,7.47,23
"lip",5.52173913,4.96,2.7396,3.79,21
"lipstick",5.928571429,4.9,2.6532,5.42,17
"liqueur",5.666666667,4.64,1.4624,12.4,18
"liquid",5.260869565,4.72,2.5977,5.83,14
"liquor",5.961538462,4.73,2.946,8.4,14
"litter",5.034482759,4.47,2.3032,7.61,19
"liverwurst",4.708333333,4.61,1.3424,NA,14
"livestock",5.041666667,4.7,2.0128,7.89,17
"lizard",4.925925926,4.68,2.3945,5.42,17
"llama",4.75,4.78,1.8633,8.61,17
"loaf",4.458333333,4.79,2.3598,6.84,13
"lobbyist",4.4,3.71,1.3617,13.28,18
"lobe",4.47826087,4.44,1.9823,10.17,15
"lobster",4.92,4.86,2.574,7.44,17
"lock",5.173913043,4.65,3.4603,5.74,16
"locker",5.538461538,4.67,2.9117,8.22,23
"locket",5.333333333,4.82,1.9445,8.35,21
"locksmith",4.8,4.54,1.7243,9.58,16
"lodge",4.833333333,4,2.534,8.26,23
"lodging",4.620689655,4.37,1.6435,NA,18
"log",5.692307692,4.96,2.786,6.74,15
"logbook",5.565217391,4.54,1.2041,12.22,21
"loin",4.391304348,4.38,1.2788,11.06,14
"loincloth",4.833333333,4.88,1,9.67,17
"lollipop",6.48,4.96,1.9638,3.89,16
"longbow",5.285714286,4.96,0.9031,13.39,13
"loo",4.952380952,4.2,2.0864,12.69,14
"lotion",6.28,4.79,2.2227,5.83,21
"loudspeaker",4.625,4.82,1.6812,10,16
"lounge",4.714285714,3.96,2.6042,9.53,18
"lounger",4.692307692,4.04,0.6021,9.82,15
"lovebird",4.4,4.62,0.7782,8.44,17
"lozenge",5.4,4.59,0.9542,9,10
"lubricant",5.76,4.52,1.5563,11.11,17
"lubrication",4.333333333,3.62,1.1461,12.95,16
"luggage",5.304347826,4.83,2.7543,7.63,15
"lumber",5.217391304,4.56,2.1038,7.33,20
"lump",4.5,4.56,2.2601,5.89,16
"lunch",6.043478261,4.31,3.7252,3.61,15
"lunchroom",4.565217391,4.63,1.2553,5.37,14
"lyre",4.45,4.23,0.699,13.47,14
"macaroni",5.62962963,4.97,2.2227,5.15,14
"macaroon",4.346153846,4.96,0.7782,NA,21
"mace",5.12,4.81,2.2529,12.47,15
"machete",5.791666667,4.82,1.7324,9.6,15
"machetes",5.260869565,4.63,0.9542,NA,21
"machine",5.791666667,4.25,3.5544,6.53,18
"machinery",5.416666667,4.75,2.2742,10.28,21
"magazine",6.166666667,5,3.2289,5.89,23
"maggot",4.44,4.97,1.9138,9.5,17
"magician",4.5,4.21,2.5922,5.37,17
"magnet",5.615384615,4.7,2.1492,6.1,14
"magnolia",5.416666667,4.71,1.5682,9.89,15
"maid",4.458333333,4.64,3.0663,6.95,19
"maiden",4.44,4.24,2.4518,9.58,14
"maidservant",4.333333333,4.39,0.8451,12,14
"mail",6.125,4.69,3.2742,4.65,15
"mailbag",5.041666667,4.89,0.7782,6.25,19
"maize",5.416666667,4.58,1,9.59,17
"makeup",6,4.45,2.8982,7.94,17
"male",5.5,4.45,3.2385,5.63,16
"mall",4.36,4.83,2.9845,6.78,19
"mallard",4.772727273,4.27,1.301,9.94,14
"mallet",5.56,4.93,1.5563,10.94,17
"mammal",5.291666667,4.59,1.7993,7.39,18
"man",5.346153846,4.79,4.9737,3.11,17
"mandolin",5.304347826,4.76,1.3979,12.39,16
"mango",6.24,5,1.9294,8.22,15
"manhole",4.72,4.7,1.5911,6.83,14
"manicure",4.730769231,4.39,2.0086,10.56,19
"manicurist",4.916666667,4.11,1.5051,11.72,14
"mannequin",4.48,4.53,1.7993,9.24,17
"mansion",4.52173913,4.89,2.5185,7.2,12
"mansions",4.260869565,4.46,1.5682,8.63,19
"mantel",5,4.64,1.5911,7.72,15
"mantelpiece",4.285714286,3.76,1.2788,11,15
"mantle",4.807692308,4.57,2.0453,9.17,18
"manure",4.708333333,4.64,2.0294,10.1,12
"manuscript",5.083333333,4.57,2.1399,12.12,14
"map",5.481481481,4.93,3.2106,5.6,16
"maple",4.32,4.46,2.2201,5.94,16
"marble",5.48,4.85,2.4265,7.05,22
"marbles",5.75,4.96,2.1931,NA,15
"margarine",5.56,4.58,1.5185,8.5,13
"marigold",4.75,4.59,0.9542,8.47,10
"marijuana",6.04,4.89,2.4346,10.89,21
"marionette",4.333333333,4.63,0.9031,9.89,14
"marketeer",4.5,3.71,0.4771,NA,13
"marksman",4.291666667,4.12,1.8751,10.83,15
"marmalade",6.041666667,4.83,1.7243,10.39,17
"marshmallow",6.173913043,4.85,1.8921,3.8,21
"mascara",5.703703704,4.93,1.8129,9.21,13
"mascot",4.32,4.2,1.9294,9.5,16
"mask",5.92,4.96,3.0048,4.8,14
"massage",4,4.18,2.7528,10.9,3
"massager",NA,4.6,1.2304,10,5
"masseur",5.6,4.39,1.3222,14.72,11
"masseuse",5.086956522,4.56,1.8633,11.22,12
"mastiff",5,4.69,0.8451,12.08,11
"masturbate",4.826086957,4.18,1.7993,12.21,5
"mat",5.814814815,4.83,2.2529,4.62,21
"match",4.565217391,4.14,3.4017,5.72,16
"matchbox",5.875,4.78,1.301,6.52,17
"matchstick",6.103448276,4.96,0.301,6.74,17
"matchwood",5.210526316,4.15,0.301,10.25,12
"mathematician",4.272727273,4.38,1.699,9.17,12
"matter",4.4,3.54,4.2765,7.56,21
"mattress",6.72,5,2.5289,5.1,13
"mayo",5.956521739,4.96,2.2227,NA,19
"mayonnaise",5.523809524,4.9,2.0645,6.1,19
"mayor",4.28,4.37,3.203,8.28,19
"me",5.708333333,4.33,5.6733,3.28,14
"meadow",4.391304348,4.86,2.0682,6.89,15
"meal",5.958333333,4.62,3.1682,4.74,16
"meat",5.52173913,4.9,3.3477,4.42,17
"medal",5.608695652,4.89,2.7716,6.83,12
"medallion",5.541666667,4.68,1.8388,10.26,13
"medic",5.217391304,4.43,2.4654,11.17,24
"medication",6.28,4.53,2.8149,7.53,23
"medicine",5.692307692,4.79,3.2418,4.89,15
"medics",4.28,4.47,1.8261,NA,16
"megaphone",6.2,4.76,1.2041,10.2,15
"melon",5.681818182,4.78,2.3404,4.21,16
"memo",5.04,4.25,2.5289,11.39,20
"memorabilia",4.434782609,4.15,1.415,11.16,14
"men",5.72,4.75,4.279,NA,18
"mentor",4.347826087,3.7,2.2529,11.37,17
"menu",5.869565217,4.67,2.7067,5.89,18
"merchandise",5.833333333,4.52,2.3909,9.26,17
"merchant",4.5,4.31,2.1673,9.8,17
"merchantman",4.5,4.19,0.4771,11.12,20
"metal",5.130434783,4.87,2.9969,5.61,16
"metalworker",4.8,4.18,0.4771,11,14
"meteorologist",4.875,4.56,1.0792,8.89,17
"mice",5,4.84,2.5263,NA,14
"microphone",6.043478261,4.88,2.3674,6.25,18
"microscope",5.721024259,5,2.1139,9.16,17
"microwave",5.28,4.34,2.301,7.67,18
"midget",4.821428571,4.4,2.3729,9.2,16
"midshipman",4.352941176,4.54,1.5798,13.93,10
"midwife",5,4.56,1.4771,10.89,18
"milk",5.956521739,4.92,3.3365,3.37,15
"milkshake",6.4,4.97,1.6335,4.89,17
"mincemeat",5.083333333,4.36,1.3617,12.06,17
"minister",4.84,4.22,2.9741,7.42,20
"mink",4.904761905,4.58,2.2788,10.32,14
"minnow",4.416666667,4.84,1.1761,9.06,12
"mint",5.76,4.54,2.444,5.94,17
