"Cue","AFSS","BOI","Concrete","SUBTLEX","AoA","Length","n.unique","n.unique.affordance","total.affordance"
"ecologist",23,4.458333333,3.68,0.4771,12.65,9,27,20,29
"edibles",35,5.428571429,3.86,0.4771,11.17,7,35,32,88
"editor",32,4.5,4.25,2.8021,10.11,6,28,22,51
"educator",50,5,4,1.3979,8.55,8,26,26,95
"eel",39,4.653846154,4.69,1.8692,6.47,3,32,30,82
"egg",34,6.068965517,4.97,3.1235,3.89,3,30,27,115
"eggbeater",26,5.96,4.89,1.1139,9.05,9,33,32,74
"eggplant",31,5.807692308,4.97,1.7559,8.3,8,28,26,73
"eggshell",27,5.791666667,4.77,1.3802,7.11,8,35,31,59
"elbow",40,6.458333333,5,2.4969,4.78,5,31,30,70
"electrician",31,4.625,4.21,1.8865,8.75,11,25,22,52
"electrocardiogram",26,4.347826087,4.16,0.699,13.29,17,33,26,36
"electronics",55,5.12,4.37,2.1461,9.21,11,35,33,112
"elephant",45,4.36,5,2.7642,4.8,8,43,37,99
"elevator",19,5.486522911,4.79,3.0955,5.47,8,27,22,39
"employee",37,5.045454545,4.1,2.7716,7.84,8,26,20,66
"employer",37,5.291666667,3.81,2.4393,10.15,8,26,22,51
"enamel",24,4.652173913,4.21,1.4771,12.9,6,29,21,36
"encyclopedia",39,6.16,4.79,1.9138,7.17,12,38,33,89
"enemy",30,4.375,2.83,3.3936,7.26,5,29,23,45
"engine",40,5.333333333,4.86,3.2114,6.28,6,33,28,69
"engineer",29,5.379310345,4.64,2.776,9.89,8,26,23,51
"entertainer",28,4.964285714,4.17,1.9294,7.85,11,25,22,61
"entomologist",28,4.583333333,3.88,1.301,14.86,12,26,22,50
"entree",21,5.28,4.28,1.6335,11.22,6,30,19,59
"envelope",46,5.64,4.93,2.711,6.25,8,37,35,108
"environment",54,4.52173913,3.74,2.8149,9.85,11,38,30,77
"environmentalist",38,4.482758621,3.72,1.1461,12.89,16,25,24,53
"epidermis",50,5.636363636,4.69,1.2041,13.44,9,37,31,88
"equipment",50,5.28,4.83,3.1136,7.5,9,26,25,82
"eraser",37,5.791666667,4.74,1.716,4.95,6,36,35,77
"erection",32,5.4,4.22,2.0492,13.11,8,29,28,54
"escalator",17,5.52,5,1.8261,7.11,9,28,25,48
"espresso",31,5.24,4.41,2.0253,13.26,8,29,24,61
"essay",43,4.333333333,3.97,2.4969,8.39,5,27,26,79
"evergreen",37,4.444444444,4,1.0414,8.95,9,31,28,57
"examiner",40,4.565217391,3.57,2.1173,11.95,8,26,23,53
"excavator",33,4.409090909,4.07,0.699,13,9,26,23,54
"executioner",20,4.44,4.17,1.8451,9.79,11,27,25,40
"extinguisher",41,5.043478261,4.7,1.8976,7.35,12,37,34,80
"eye",42,5.72,4.9,3.756,3.75,3,31,29,96
"eyeball",27,5.555555556,4.92,1.9777,3.83,7,29,28,70
"eyebath",18,4.368421053,3.79,0.301,12.43,7,30,25,40
"eyedrop",31,5.48,4.81,0.6021,7.39,7,34,25,44
"eyeglass",31,5.958333333,4.7,0.6021,6.33,8,24,24,63
"eyeglasses",23,6.28,4.92,1.5441,4.9,10,29,28,66
"eyelash",37,5.423076923,5,1.6532,5.8,7,35,30,77
"eyelid",29,5.52173913,5,1.2553,6.33,6,33,30,75
"eyepiece",33,5.8,4.74,0.4771,9,8,33,31,62
"eyewash",22,5.4,4.7,0.9031,11,7,27,24,47
"fabric",43,6.08,4.63,2.3909,6.68,6,33,30,96
"face",49,5.857142857,4.87,4.1687,3.75,4,25,24,69
"factory",28,4.44,4.76,2.9335,6.89,7,35,32,66
"fairground",42,4.608695652,4.7,1.0414,7.22,10,33,26,78
"family",46,5.291666667,4.23,4.2569,3.38,6,36,32,91
"fan",40,5.72,4.71,3.2536,5.63,3,35,30,76
"farm",40,5.035714286,4.59,3.1855,3.85,4,30,26,80
"farmer",36,5.08,4.54,2.7818,4.74,6,26,21,65
"farmhand",38,4.4,4.52,0.6021,7.89,8,34,31,68
"farmhouse",38,5.068965517,4.74,1.8325,5.89,9,25,22,72
"fastener",33,4.347826087,4.1,0.301,8.72,8,28,23,58
"father",64,6.035714286,4.52,4.4515,4.11,6,38,30,102
"faucet",17,5.869565217,4.48,1.8692,6.29,6,28,23,58
"fauna",48,5,3.96,1.4472,12.2,5,35,27,68
"fawn",36,4.535714286,4.3,1.5682,8.4,4,25,22,67
"feast",38,4.384615385,4.3,2.5353,7.81,5,32,27,80
"feather",39,5.260869565,4.9,2.5302,4.67,7,27,21,61
"featherbed",24,5.434782609,4.69,0.9542,9.35,10,27,25,55
"fedora",33,6.291666667,4.5,1.1461,12.69,6,37,34,75
"feline",35,5.458333333,4.38,1.6721,8.43,6,27,20,63
"female",33,5.689655172,4.57,3.2076,5.89,6,29,21,55
"femur",24,4.5,4.88,1.7709,11.11,5,29,24,63
"fence",48,5.62962963,4.82,2.9138,6.28,5,41,38,109
"fern",53,5.005471956,5,2.2148,8.67,4,30,27,77
"ferret",29,5,4.97,1.9243,8.47,6,29,26,61
"ferryboat",28,5.083333333,4.77,1.3424,8.63,9,25,22,68
"fertilizer",35,5.217391304,4.76,2.0043,7.67,10,26,24,54
"festival",45,4.5,4.33,2.7042,8.39,8,30,26,83
"fiancee",33,5.652173913,3.86,2.1903,8.47,7,27,27,76
"fiddle",46,6.043478261,4.81,2.2695,8.28,6,35,31,83
"fig",28,5.083333333,4.97,1.7993,8.06,3,25,24,64
"figurine",41,5.791666667,4.86,1.1761,9,8,33,30,88
"file",30,5.041666667,4.41,3.3516,8.21,4,25,20,48
"fillet",21,4.32,4.75,1.415,10.95,6,27,21,47
"film",40,4.32,4.71,3.5223,6.95,4,34,29,75
"finger",56,6,5,3.2721,3.43,6,34,32,124
"fingerboard",21,5.15,4.35,0.699,11.65,11,27,21,35
"fingernail",33,5.88,4.93,1.8388,4,10,25,24,78
"fingerprint",44,4.291666667,4.96,2.2148,7.56,11,35,31,76
"fingertip",43,5.928571429,4.93,1.0414,6,9,25,22,73
"fir",40,4.272727273,4.58,1.3617,8.75,3,28,20,62
"firearm",41,5.814814815,4.64,1.8865,9.94,7,32,31,85
"firecracker",33,4.916666667,4.68,1.7404,5.56,11,26,22,59
"fireplace",32,5.458333333,4.68,2.415,7.37,9,31,31,72
"firewood",42,5.72,4.93,1.8921,6.61,8,31,30,92
"firstborn",59,4.518518519,4.04,1.6128,8.83,9,35,26,87
"fish",48,5.592592593,5,3.6293,4.05,4,30,29,112
"fishbone",34,5.173913043,4.57,0.699,7.64,8,28,24,50
"fisherman",52,4.851851852,4.73,2.3464,5.16,9,34,29,90
"fishpond",31,4.791666667,4.71,0.6021,6.94,8,30,24,61
"fist",32,6.08,4.93,2.5752,4.58,4,24,23,62
"fixture",28,5,4.17,1.5185,8.53,7,30,24,48
"flag",33,5.851851852,4.79,2.9509,5.33,4,29,26,71
"flagpole",39,4.785714286,4.86,1.5798,6.44,8,37,35,66
"flamethrower",32,4.740740741,4.57,1.4771,8.89,12,25,22,47
"flannel",59,4.869565217,4.43,1.8513,9.44,7,57,47,148
"flapjack",37,5.2,4.89,1.1461,8.5,8,30,26,85
"flashbulb",30,4.375,4.75,0.6021,7.78,9,31,28,65
"flashlight",43,5.869565217,5,2.4814,5.61,10,38,36,93
"flask",29,5.416666667,4.79,1.7634,10.78,5,33,28,68
"flatiron",35,5.590909091,4.24,0.8451,11.67,8,34,31,68
"flaxseed",28,5.037037037,4.46,0.7782,15.78,8,25,24,57
"fleece",30,4.5,4.75,1.7782,10.2,6,33,30,70
"flesh",43,4.782608696,4.59,3.0515,8.3,5,33,29,80
"floor",44,5.666666667,4.8,3.7104,4.44,5,29,28,110
"floorboard",52,5.791666667,4.89,1.1461,9.35,10,35,33,93
"flooring",39,4.565217391,4.43,1.3617,7.84,8,32,25,80
"florist",44,4.444444444,4.62,2.0934,8.45,7,26,20,61
"floss",31,5.166666667,4.41,2.0043,7.06,5,26,21,57
"flounder",30,4.52173913,3.92,1.6435,8.8,8,28,24,68
"flour",28,5.875,4.97,2.2095,6.89,5,26,25,60
"flower",67,5.916666667,5,3.0652,3.11,6,39,34,145
"flowerbed",51,5.041666667,4.71,0.8451,7.05,9,34,28,69
"flowerpot",36,5,4.81,1.1761,6.55,9,37,33,82
"fluid",63,4.923076923,4.73,2.6599,7.94,5,38,38,127
"flute",32,5.75,5,2.0374,8.47,5,36,34,98
"flycatcher",15,5.375,4.61,0.4771,7.95,10,25,22,34
"flypaper",24,5.037037037,4.77,1.1761,9.48,8,25,24,45
"flyswatter",30,5.703703704,5,0.4771,5.79,10,26,26,62
"foghorn",31,4.583333333,4.96,1.1139,8.94,7,35,30,60
"folder",47,6.260869565,4.93,1.9243,8.21,6,35,32,87
"foliage",41,4.6,4.67,1.4472,10.63,7,27,22,56
"fondue",27,4.92,4.79,1.6812,10.78,6,36,33,71
"food",47,6.470350404,4.8,3.8964,3.25,4,35,35,123
"foodstuff",32,4.846153846,4,0.4771,11.17,9,25,24,68
"foot",37,6,4.9,3.5201,3.44,4,25,23,92
"football",32,6.12,4.73,3.2822,4.84,8,25,24,78
"footballer",42,5.041666667,4.52,1.2304,8.71,10,32,26,80
"footbath",23,5.090909091,4.46,0.699,8.53,8,33,29,56
"footboard",26,5.086956522,4.77,0.301,8.82,9,27,21,37
"footbridge",41,4.777777778,4.81,0.8451,11.2,10,28,26,76
"footpad",36,5.041666667,4.37,0.699,11.06,7,28,23,50
"footpath",24,4.592592593,4.79,1.1761,7.72,8,26,23,56
"footplate",28,4.875,4.58,0.301,11.33,9,32,25,42
"footstool",30,6.304347826,4.96,0.9542,6,9,37,35,85
"footwear",37,6.434782609,4.66,1.6128,7.74,8,26,24,76
"forceps",34,4.869565217,4.79,1.5441,13.74,7,32,29,67
"ford",16,4.416666667,4.19,2.7694,8.1,4,26,21,41
"forearm",39,5.782608696,4.69,1.7076,8.65,7,27,25,54
"forefinger",36,5.16,4.64,1.1761,7.26,10,26,24,70
"forehead",39,5.777777778,4.9,2.6031,5.58,8,32,21,55
"forest",45,4.6,4.76,2.9841,6.28,6,24,24,62
"fork",32,5.6,4.9,2.6542,3.63,4,26,26,69
"forklift",48,5.541666667,4.79,1.699,9.11,8,40,39,112
"fossil",51,4.925925926,4.9,1.9031,7.5,6,38,31,95
"fountain",35,5.208333333,4.77,2.5478,7.17,8,36,32,88
"fountainhead",32,4.523809524,3.87,0.9031,NA,12,30,25,44
"foxhound",35,4.347826087,4.48,0.4771,9.33,8,34,30,72
"frame",29,4.956521739,4.3,2.8573,7.67,5,28,27,62
"frankfurter",32,5.708333333,4.88,1.0792,NA,11,25,22,74
"freezer",20,5.260869565,4.87,2.4216,4.63,7,25,20,42
"fridge",30,6.166666667,4.92,2.7016,4.67,6,37,36,80
"friend",40,5,3.07,4.3301,3.57,6,28,25,79
"frog",31,5.125,5,2.781,4.32,4,27,23,57
"frosting",28,5,4.86,1.8633,4.95,8,27,22,52
"fruit",42,6,4.81,3.0449,3.63,5,30,28,89
"fruitcake",28,6,4.62,2.0253,8.28,9,25,25,68
"fryer",20,5.541666667,4.5,1.5315,8.56,5,28,24,61
"fudge",33,5.68,4.89,2.2695,5.78,5,25,24,68
"fungus",48,4.32,4.59,2.0531,8.44,6,33,26,76
"funnel",28,4.833333333,4.52,1.7559,8.44,6,34,29,59
"furnace",30,4.68,4.69,2.143,10.6,7,35,30,65
"furnishings",25,6.166666667,4.31,1.3979,10.28,11,26,21,55
"furniture",46,6.56,4.89,2.8865,5.89,9,25,22,103
"gadget",48,5.52,4.6,2.0969,8.63,6,28,21,63
"gambler",33,4.416666667,4.03,2.3711,10.26,7,33,26,61
"game",46,4.518518519,4.5,4.0765,4.26,4,38,34,99
"gangster",31,4.36,3.93,2.4362,8.5,8,27,21,42
"garage",28,4.96,4.96,3.1427,5.26,6,31,27,66
"garb",27,4.541666667,4.19,1.2304,12.05,4,25,19,51
"garbage",28,4.96,4.69,3.1245,4.89,7,26,23,51
"garden",48,5.913043478,4.73,3.1319,5.33,6,36,28,84
"gardener",48,4.958333333,4.5,2.3324,6.5,8,36,31,97
"garland",26,5.166666667,4.85,2.0492,10.93,7,26,24,48
"garlic",30,6.32,4.89,2.4871,6.89,6,27,25,67
"garment",42,5.826086957,4.78,1.8573,8.32,7,25,23,68
"garnets",21,4.65,4.12,0.699,NA,7,26,19,39
"gasket",23,4.846153846,4.44,1.5441,10.9,6,26,20,32
"gate",38,5.956521739,4.96,3.2135,5.32,4,36,34,104
"gatehouse",42,4.464285714,4.48,0.9542,11.67,9,31,28,61
"gatekeeper",20,4.44,4.21,1.5563,9.94,10,27,22,32
"gauze",41,5.88,4.62,1.8692,9.32,5,34,28,65
"gavel",38,4.545454545,4.88,1.6021,9.22,5,29,27,65
"gazebo",37,5.25,4.79,1.6721,9.76,6,29,28,74
"gear",37,4.695652174,4.28,2.9122,7.61,4,38,31,73
"gearbox",21,5.041666667,4.72,1,10.24,7,27,23,46
"gem",36,5.517241379,4.88,2.1038,7.68,3,35,23,64
"generator",30,4.47826087,4.23,2.4639,11.11,9,31,27,52
"genitals",64,6.130434783,4.96,1.8062,NA,8,98,86,192
"gentleman",50,4.961538462,3.57,3.3296,6.89,9,26,19,63
"geranium",27,4.695652174,4.76,0.9542,11.41,8,28,21,46
"germ",37,4.333333333,3.89,1.8129,5.95,4,36,27,62
"giblets",20,4.714285714,4.58,1.1761,NA,7,28,22,54
"gift",45,5.380952381,4.56,3.5173,5.05,4,36,34,107
"gin",39,5.074074074,4.46,2.7604,12.06,3,26,24,78
"ginger",32,5.32,4.92,2.5159,8.05,6,32,28,66
"gingerbread",28,5.48,4.88,1.5315,6,11,30,26,86
"gingersnap",21,4.703703704,4.76,0.301,9.11,10,27,26,59
"girdle",27,5.52173913,4.63,1.9031,10.22,6,25,21,33
"girl",33,5.52,4.85,4.4535,4,4,25,19,44
"girlfriend",41,5.730769231,4.25,3.5891,6.26,10,30,23,66
"glass",39,6.12,4.82,3.4909,4.47,5,30,28,91
"glassblower",25,4.52173913,4.33,0.301,NA,11,33,30,55
"glasses",26,6.541666667,4.9,3.2279,4.35,7,24,24,66
"glassware",34,5.964285714,4.59,0.9031,9.72,9,37,36,111
"glider",36,4.5,4.32,1.5563,10.47,6,28,25,52
"glitter",28,4.434782609,4.43,2.0212,5.22,7,25,24,46
"globe",31,5.28,4.59,2.4265,6.5,5,26,23,63
"glue",40,5.043478261,4.65,2.4786,4.67,4,39,37,87
"glycerine",26,4.434782609,4,0.4771,13.45,9,27,20,32
"goalkeeper",26,4.458333333,4.5,1.2304,8,10,28,22,49
"goalpost",33,4.84,4.96,1.1461,9.83,8,29,21,48
"goat",35,4.8,5,2.7308,5.21,4,36,28,91
"goatee",35,4.375,4.89,1.7404,11.78,6,34,25,69
"goatskin",21,4.44,4.8,0.6021,10.25,8,33,20,39
"goblet",31,5.826086957,4.65,1.301,11.44,6,26,23,64
"goddaughter",29,5.04,3.72,1.2041,8.05,11,26,18,41
"godfather",24,5.043478261,4.14,2.4456,8.47,9,27,21,33
"godmother",36,5.19047619,3.72,1.9191,6.95,9,30,25,63
"godparent",40,5.260869565,4,0.699,7.71,9,29,24,61
"goggles",47,6.125,4.93,2.0334,7.05,7,52,49,113
"gold",59,4.75,4.81,3.605,7.1,4,36,31,104
"goldfish",32,4.739130435,4.79,2.1931,4.5,8,34,29,77
"goldsmith",30,4.375,4.73,1.2553,10.17,9,34,25,55
"golf",26,4.76,4.52,3.1149,7.16,4,25,22,48
"golfer",30,4.583333333,4.71,1.7559,7.16,6,35,28,63
"gondola",32,4.916666667,4.92,1.5798,10.21,7,28,24,55
"goose",26,5.260869565,4.81,2.8235,5.15,5,27,23,55
"gooseberry",27,5.041666667,4.7,1.1761,9.41,10,30,25,60
"goulash",38,4.846153846,4.2,1.6232,8.89,7,26,21,65
"gourd",30,5.208333333,4.86,1.3979,10.65,5,29,27,62
"gown",38,6.36,4.61,2.525,6.16,4,27,22,80
"grandchild",46,5.24,4.26,1.8976,5.26,10,36,28,83
"granddaughter",42,5,4.37,2.5198,4.68,13,29,23,66
"grandfather",41,5.833333333,4.86,3.0941,4.39,11,25,22,79
"grandma",31,5.769230769,4.54,3.3666,2.58,7,26,25,69
"grandnephew",39,5.08,4.69,0.4771,9.5,11,25,23,64
"grandniece",32,4.708333333,4.54,0.4771,10.11,10,33,21,52
"grandpa",48,5.76,4.39,3.2206,3.06,7,28,22,73
"grandparent",58,5.56,4.03,1.1461,5.5,11,38,31,98
"grandson",40,5.785714286,4.3,2.6107,5.89,8,31,21,66
"granite",46,4.666666667,5,1.9138,12.24,7,35,21,60
"granny",30,5.083333333,4.24,2.6345,4.22,6,36,28,67
"grape",41,6.214285714,5,2.3118,3.94,5,29,26,82
"grapefruit",40,5.96,4.96,2.1038,6.9,10,26,23,75
"grapevine",28,4.869565217,4.69,1.6812,7.37,9,31,24,50
"graphite",25,4.590909091,4.58,1.3424,10.11,8,26,21,40
"grass",47,5.454545455,4.93,2.933,3.94,5,33,30,110
"grasshopper",45,4.753721245,4.91,1.6812,5.78,11,33,27,76
"grater",17,4.92,4.52,0.9031,8.88,6,28,20,37
"grave",43,4.730769231,4.56,3.1274,7.06,5,29,27,72
"gravel",44,5.461538462,5,1.8692,7.19,6,34,28,71
"gravestone",30,4.875,4.72,1.2553,7.37,10,25,23,47
"graveyard",40,4.608695652,4.83,2.4362,6.06,9,36,26,77
"gravy",43,5.333333333,4.97,2.4314,6,5,37,30,98
"grease",33,4.666666667,4.61,2.5502,7.33,6,27,23,53
"greenery",38,4.375,4.34,0.9031,9.63,8,38,30,69
"greenhouse",34,5.260869565,4.76,2.0531,9.22,10,26,21,51
"greens",32,4.5,4.1,2.0414,6.9,6,27,22,68
"grenade",31,5.2,4.9,2.3729,9.72,7,25,23,57
"greyhound",36,4.636363636,5,1.6721,8,9,28,22,68
"griddle",35,5.739130435,4.38,1.2788,8.67,7,35,34,90
"grill",30,5.72,4.86,2.3579,6.53,5,25,24,66
"grits",24,5.291666667,4.74,1.9138,8.95,5,31,30,63
"groceries",51,5.962962963,4.74,2.48,5.35,9,50,45,148
"groom",34,5,4.54,2.6021,7.78,5,27,23,57
"ground",36,5.875,4.77,3.5678,4.89,6,26,24,64
"groundsman",34,4.333333333,4.19,0.301,10.88,10,28,22,58
"guard",27,5,4.04,3.4726,6.25,5,27,24,58
"guardhouse",26,4.28,4.67,1.5682,9.28,10,25,22,43
"guardrail",32,4.36,5,1.1761,9.35,9,26,23,56
"guardsman",23,4.481481481,4.64,0.9542,10.33,9,26,22,43
"guest",50,4.857142857,3.83,3.3092,6.21,5,29,23,71
"guesthouse",39,4.913043478,4.53,1.5911,9.26,10,27,24,77
"guestroom",33,4.538461538,4.44,0.699,7.76,9,29,27,67
"guidebook",49,5.791666667,4.83,1.5563,11.11,9,26,25,79
"guillotine",33,4.52173913,4.64,1.6335,11.75,10,26,24,62
"guitar",39,6.293243243,4.9,2.9009,5.32,6,33,29,83
"guitarist",33,4.75,4.58,1.5682,9.26,9,26,23,55
"gum",34,6.36,4.89,2.8351,4.89,3,34,32,103
"gumbo",27,4.619047619,4.39,1.6628,12.05,5,24,24,53
"gumdrop",28,5.875,4.9,0.9542,5.53,7,27,24,65
"gun",35,6.12,4.83,4.0364,5.58,3,27,25,76
"gunfighter",29,4.52,4.34,1.8633,7.18,10,26,23,61
"gunnysack",20,4.666666667,4.52,0.7782,11.58,9,24,22,44
"gunpowder",27,4.96,4.79,1.9345,9.74,9,29,22,47
"guy",57,5.84,4.68,4.5899,4.11,3,30,25,80
"gym",42,4.958333333,4.83,2.9675,6,3,24,23,61
"gymnasium",30,4.464285714,4.81,1.8573,6.63,9,29,24,62
"gymnast",43,5,4.85,1.4914,6.74,7,27,21,58
"gynecologist",39,4.833333333,4.39,1.8633,NA,12,26,21,42
"gyroscope",22,4.814814815,4.25,1,12.69,9,31,26,49
"hailstone",37,5,4.57,0.4771,10.14,9,36,30,62
"hair",55,6.318181818,4.97,3.8939,3.17,4,27,25,100
"hairbrush",39,6.48,4.75,1.5798,4.7,9,38,36,92
"hairdo",26,5.08,4.07,1.8261,6.39,6,27,24,52
"hairdresser",27,5.384615385,4.79,2.1038,6.65,11,27,21,59
"hairline",31,4.92,4.46,1.7993,9.68,8,28,21,51
"hairnet",26,5.458333333,4.96,1.1139,8.7,7,35,33,54
"hairpiece",40,5.956521739,4.82,1.301,10.83,9,34,28,69
"hairpin",39,6.125,4.83,1.2788,8.17,7,30,28,72
"hairstyle",51,4.68,3.9,1.5563,7.11,9,34,29,79
"hairstylist",40,5.041666667,4.79,0.9031,8.5,11,26,23,69
"hall",31,4.346153846,4.67,3.4232,5.35,4,25,22,58
"hallway",26,4.708333333,4.74,2.6884,5.38,7,25,24,51
"ham",43,5.541666667,4.9,2.7723,4.1,3,30,24,86
"hamburger",36,6.148148148,5,2.5999,5.21,9,28,26,88
"hammer",32,6.173913043,4.77,2.8041,5.42,6,24,24,62
"hammock",41,6.166666667,4.89,1.8573,7.11,7,38,37,136
"hamper",35,4.4,4.21,1.8633,6.8,6,28,25,66
"hamster",39,5.583333333,4.86,2.0414,4.37,7,39,33,89
"hamstring",24,5.08,4.72,1.0414,9.74,9,29,28,70
"hand",59,6.44,4.72,4.1542,2.74,4,24,23,103
"handbag",33,6,4.93,2.1303,7.95,7,36,34,99
"handball",28,5.75,4.48,1.4624,8.69,8,27,25,91
"handbook",41,5.782608696,4.64,1.7243,8.89,8,26,23,68
"handbrake",25,5.083333333,4.69,1,8.05,9,26,22,50
"handcart",25,5.6,4.67,0.699,7.31,8,27,25,62
"handclap",29,4.434782609,4.28,0.8451,5.06,8,24,24,49
"handclasp",43,4.681818182,4.22,0.6021,10.78,9,37,31,61
"handgun",34,5.761904762,5,1.8261,7.59,7,27,25,66
"handhold",29,5.045454545,3.91,0.6021,9.26,8,25,19,48
"handkerchief",30,5.72,5,2.3324,7.22,12,36,34,91
"handle",40,4.958333333,4.57,3.7427,6.3,6,39,36,119
"handlebar",27,5.384615385,4.76,1.0414,6.26,9,29,25,64
"handrail",33,5.227272727,4.72,0.8451,7,8,26,24,58
"handsaw",25,6.076923077,5,0.7782,8.56,7,28,28,68
"handshake",33,5.636363636,4.52,2.1931,6,9,35,31,58
"handwork",35,4.928571429,3.66,0.301,9.22,8,25,23,51
"hanger",14,5.291666667,4.81,1.8451,6.78,6,27,23,45
"hangnail",29,5.814814815,4.71,1.2041,10.84,8,30,24,55
"hanky",16,4.481481481,4.76,1.6335,8.71,5,25,20,47
"hardcover",21,4.652173913,4.69,0.9542,8.36,9,28,20,38
"hardware",35,5.52,4.62,2.5428,8.63,8,28,25,56
"hardwood",30,5.076923077,4.4,1.5315,9.84,8,27,20,53
"harmonica",30,6.416666667,4.9,1.9542,7.32,9,32,30,67
"harness",33,4.4,4.14,2.1271,7.83,7,26,26,58
"harp",31,5.8,4.85,2.1303,7.55,4,27,25,61
"harpist",29,4.304347826,4.08,0.4771,12.11,7,33,29,54
"harpsichord",43,4.904761905,4.67,1.0792,12,11,29,26,67
"harvest",32,4.464285714,4,2.2923,7.4,7,35,28,59
"hat",38,6.44,4.88,3.5151,3.33,3,28,26,69
"hatband",21,5.16,4.38,0.301,9.61,7,25,19,33
"hatchback",21,4.818181818,4.48,0.9542,12,9,26,20,37
"hatchet",35,5.791666667,4.93,2.0043,8.2,7,34,30,87
"haystack",49,4.956521739,4.87,1.8513,6.32,8,34,30,88
"head",44,5.48,4.75,4.2776,3.42,4,36,32,97
"headboard",28,5.52,4.65,1.2041,9.86,9,26,21,44
"headdress",33,5.541666667,4.71,1.2041,9.06,9,35,32,62
"headgear",17,5.625,4.83,1.2304,10.78,8,26,22,39
"headlight",27,4.538461538,4.97,1.5798,6.79,9,31,30,63
"headmistress",34,4.555555556,4.56,1.2304,11,12,26,23,53
"headphones",30,6.083333333,4.79,1.9085,7.74,10,27,25,72
"headpiece",34,5.347826087,4.8,1.2304,10,9,29,26,55
"headrest",39,5.346153846,4.8,0.8451,7.68,8,36,35,72
"heads",29,4.28,4.63,3.3381,5.74,5,29,25,56
"headset",32,6,4.83,1.6335,9.05,7,26,22,54
"hearse",35,4.928571429,4.85,1.9138,9.89,6,30,23,69
"hedgehog",26,5.043478261,4.93,1.2041,8.63,8,26,20,43
"heel",39,4.666666667,4.86,2.5775,7.85,4,36,29,84
"helicopter",32,5.178571429,4.62,2.9069,5.26,10,25,25,76
"helmet",37,6.111111111,4.92,2.6848,5.71,6,30,28,72
"hen",31,4.652173913,4.9,2.2148,6.39,3,29,21,52
"herb",35,5.826086957,4.57,2.4065,9.05,4,30,28,89
"herbivore",25,4.363636364,4.08,0.8451,11.94,9,31,23,48
"heroin",26,4.423076923,4.57,2.7007,10.88,6,32,22,49
"hibachi",28,4.666666667,4.14,0.9031,14.21,7,33,27,69
"hibiscus",33,4.952380952,4.48,0.7782,13.88,8,27,24,71
"hickory",39,4.357142857,4.34,1.8451,9.39,7,27,22,62
"hiker",30,5.260869565,4.53,1.1761,8.5,5,27,23,58
"hill",29,4.535714286,4.93,3.2824,3.47,4,25,24,57
"him",39,4.47826087,3.54,5.2497,3.43,3,25,19,53
"hinge",27,4.333333333,4.57,1.4771,7.95,5,31,22,44
"hip",52,5.086956522,4.21,2.896,6.17,3,35,31,96
"hippie",34,4.56,4.07,2.1461,10.78,6,27,21,48
"hitchhiker",41,4.375,4.83,1.7076,7.68,10,29,27,58
"hoe",34,5.545454545,4.74,1.6812,8.72,3,28,24,59
"hog",39,4.407407407,4.66,2.4183,5.7,3,32,28,76
"holder",25,4.28,3.74,1.9191,6.85,6,31,25,54
"holding",28,4.428571429,3.72,3.5479,NA,7,24,23,46
"holster",20,4.68,4.59,2.0492,10.32,7,33,26,44
"home",36,5.434782609,4.11,4.5965,3.87,4,27,26,83
"homemaker",34,5.285714286,4.22,1.2553,8.58,9,26,22,59
"homework",40,5.32,4.5,3.012,5.89,8,25,22,63
"honey",41,5.434782609,4.88,4.1854,5.44,5,35,28,87
"honeycomb",40,4.695652174,4.72,1.3222,7.11,9,25,24,69
"honeydew",23,5.444444444,4.86,1.1761,7.56,8,31,27,53
"honeysuckle",39,5.375,4.48,1,8.26,11,29,25,72
"hood",20,5.44,4.88,2.8954,5.5,4,27,20,47
"hook",32,5,4.79,3.2876,6.26,4,29,26,68
"hookah",25,6.25,4.83,0.4771,15.13,6,25,23,49
"hookers",42,5.08,4.63,2.301,NA,7,26,23,56
"hoop",29,5.296296296,4.74,2.1399,6.11,4,30,27,69
"horn",40,5.291666667,5,3.0318,4.84,4,33,29,76
"horse",52,5.88,5,3.6756,4.15,5,26,25,103
"horsefly",31,4.32,4.97,0.7782,NA,8,33,29,69
"horseman",28,4.28,4.3,1.7924,9,8,26,22,48
"horseradish",24,5.24,4.81,1.415,9.94,11,26,20,42
"horseshoe",34,5.2,5,1.7243,5.85,9,36,35,79
"horsewhip",32,4.652173913,4.37,1.0792,10,9,32,29,54
"hose",34,5.565217391,4.87,2.6149,5.33,4,33,31,71
"hostel",40,4.708333333,3.9,1.4771,15.58,6,27,27,65
"hostess",40,5.214285714,4.12,2.2788,8.47,7,25,19,60
"hotel",26,5.695652174,4.93,3.7214,6.05,5,27,26,71
"hotplate",20,5.230769231,4.7,0.7782,12.21,8,28,24,51
"hound",46,4.962962963,4.48,2.4116,5.74,5,26,23,76
"hourglass",38,4.583333333,4.93,1.699,8.58,9,34,30,74
"house",50,5.782608696,5,4.4185,3.16,5,36,33,111
"houseboat",40,4.956521739,4.74,1.6128,10.63,9,35,33,102
"houseboy",17,4.583333333,4.26,1.5682,12.18,8,25,21,40
"housecoat",27,5.653846154,4.89,0.8451,9.1,9,31,29,73
"housefly",23,4.541666667,4.96,1,NA,8,25,22,45
